username,userid
Remo Uherek,remouherek
Kamala Harris,KamalaHarris
Jonathan Zittrain,zittrain
Amanda Askell,AmandaAskell
Steven Pinker,sapinker
Lingling Wei 魏玲灵,Lingling_Wei
TIME,TIME
Hugo Barra,hbarra
Taylor Swift,taylorswift13
Chetan Puttagunta,chetanp
"Berci Meskó, MD, PhD",Berci
Youyang Gu,youyanggu
The Verge,verge
National Geographic,NatGeo
Hu Xijin 胡锡进,HuXijin_GT
Kaitlan Collins,kaitlancollins
Weijia Jiang,weijia
Edward Wong,ewong
Julia MacLauchlan,djMacL
Laurence Tribe,tribelaw
Joe Biden,JoeBiden
Lex Fridman,lexfridman
ray ozzie,rozzie
Tedros Adhanom Ghebreyesus,DrTedros
Naval,naval
The Daily Show,TheDailyShow
balajis.com,balajis
John Carmack,ID_AA_Carmack
Jack Ma,JackMa
Jack Ma Foundation,foundation_ma
Hua Chunying 华春莹,SpokespersonCHN
Josh Constine -SignalFire,JoshConstine
Richard Socher,RichardSocher
Trevor Russell ,EntropyXero
MrDumelo,johndumelo1
Colin Kahl,ColinKahl
Ory Okolloh-Mwangi,kenyanpundit
Maria Bartiromo,MariaBartiromo
Robert Kabushenga,rkabushenga
Mike Bloomberg,MikeBloomberg
Tweepsmap,tweepsmap
Sara Menker,SaraMenker
MBZUAI,mbzuai
Frederic Rombaut,FredericRombaut
Joe Tsai,joetsai1999
Pat Gelsinger,PGelsinger
Brian Grazer,BrianGrazer
Alex Zhavoronkov,biogerontology
Lijian Zhao 赵立坚,zlj517
Rana el Kaliouby,kaliouby
Tristan Harris,tristanharris
Giorgio Jackson,GiorgioJackson
Sriram Krishnan,sriramk
"Mark Esposito, Ph.D.",Exp_Mark
Charles Onyango-Obbo,cobbo3
Alan Winfield,alan_winfield
axel wallrabenstein,walli5
Eva Hanakova,HanakovaEva
Rahul Varma,rahulvarma123
Nikki Haley,NikkiHaley
Hans Uszkoreit,hansuz
Van Diamandakis,diamandakis
Joel Weber,joelwebershow
Lawrence H. Summers,LHSummers
Graham Allison,GrahamTAllison
Cristobal Cobo,cristobalcobo
Adamu Garba II,adamugarba
Sallie Krawcheck,SallieKrawcheck
Trevor Owens,TO
Katherine Maher,krmaher
Seeker,Seeker
Tamara McCleary,TamaraMcCleary
Sandra Wachter,SandraWachter5
SALT,SALTConference
Dr. Srivatsa Krishna,SrivatsaKrishna
Kirk Borne at #ODSCEurope,KirkDBorne
Bob Carver ✭,cybersecboardrm
Mariana Mazzucato,MazzucatoM
Urs Bolt | ti&m ,UrsBolt
Roger Schank,rogerschank
🅳🆁. 🅹,Jay_Eitner
Mike Duboe,mduboe
Chris Fralic,chrisfralic
Amitabh Kant,amitabhk87
Tariq KRIM,tariqkrim
Astrid Maier,MaierAstrid
Sara Germano,germanotes
rodbeckstrom,RodBeckstrom
Glenn Gabe,glenngabe
Kirsten Alana ,KirstenAlana
Tim Armstrong,tim_armstrong
martha lane fox,Marthalanefox
hari sreenivasan,hari
Be smart. Be safe. Be kind.,ceo4vala
"Daniel Kraft, MD",daniel_kraft
(((E. Glen Weyl))),glenweyl
Kelli Richards,kellirichards
Paula Ebben,PaulaEbben
Catherine Clifford,CatClifford
Bob Gourley,bobgourley
hussein kanji,hkanji
Andrew Chen,andrewchen
Jim Gill,jimmygill
Ezra Klein,ezraklein
Bryan Johnson,bryan_johnson
Bharath Ramsundar,rbhar90
Josh Hopkins,MrJoshHopkins
"Wesley Fryer, Ph.D. ",wfryer
Susan Athey,Susan_Athey
nicole forsgren PHD IN COMPUTERING THINGS,nicolefv
Anne Toth,clean_freak
2TALLIN',2TALLINmania
Sarah Wilson,swbizcom
Ramez Naam,ramez
Preston Pysh,PrestonPysh
Camille,CamilleOfTIP
elizabeth corcoran,betsy_
Olaf J Groth PhD,OlafGrothSF
Marjon Op de Woerd,MarjonOpdeWoerd
Gilles Babinet,babgi
Maya Hari,maya_hari
Anthea Roberts,AntheaERoberts
James Altucher,jaltucher
Ankit Jain,jain_ankit
Ambassador Vishnu Prakash,AmbVPrakash
Joanna Penn,thecreativepenn
Walter Isaacson,WalterIsaacson
marco marinucci,mmarinucci
Peter Leyden,peteleyden
Frank Diana,frankdiana
Stephen Shankland,stshank
Diane Brady,dianebrady
Sean Gardner,2morrowknight
Apoorv Saxena,apoorvsaxena1
Binod Chaudhary,BinodKChaudhary
Christopher Mims,mims
Nicolas Bouzou,nbouzou
Knowledge@Wharton,whartonknows
 𝗗𝗔𝗩𝗜𝗗 𝗞𝗔𝗗𝗔𝗩𝗬,kadavy
Lifeboat Foundation,LifeboatHQ
Dave Powell,ShootTokyo
Akiko Fujita,AkikoFujita
Ariel Arrieta,aarrieta
KayFirth-Butterfield,KayFButterfield
Hoover Institution,HooverInst
Elsa B. Kania,EBKania
Maria,MariaRepnikova
Mark S A Smith,marksasmith
Christina CK Kerley,CKsays
HYSTA (华源),HYSTA
Grady Booch,Grady_Booch
Laurent Alexandre,dr_l_alexandre
Craig S. Smith,craigss
Jon Russell,jonrussell
Anthony Scaramucci,Scaramucci
Eve Tahmincioglu,EveAsks
David Axelrod,davidaxelrod
Melissa Northway,MelissaNorthway
Jack Nicas,jacknicas
Joy Hackel,joyhackel
Amarjargal,AmarjargalR
Oak Ridge Schools,ORSchools
Jamie Reno,JamieReno
Anindya Ghose,aghose
Eliot Peper,eliotpeper
Andi Lutz,MrsAndiLutz
Michelle Caruso-Cabrera,MCaruso_Cabrera
Julia Chatterley,jchatterleyCNN
KirstenAllegriWilliams,kirstenallegriw
Marvin Chow,theREALmarvin
Fred Kempe,FredKempe
Lava Kafle,lkafle
Kevin Rudd,MrKRudd
S Ramamoorthy,sramamoorthy
Pedro Domingos,pmddomingos
C. Michael Gibson MD,CMichaelGibson
Marie Helen Johnson,mariehjohnson
James L. McGregor,jamesLmcgregor
Steve Lohr,SteveLohr
Harsimran Julka,HarsimranJulka
Rana Sarkar,RanaSarkar_
Gerry Moran,GerryMoran
Theo - 劉䂀曼,psb_dc
Caroline Leach,caroline_leach
Paul Roetzer,paulroetzer
Felix Evert,Glaslix
Ching-Ching Ni,ccni
Calum Chace,cccalum
Scott Santens,scottsantens
Meredith Whittaker,mer__edith
Dan Farber,dbfarber
Julian Gewirtz,JulianGewirtz
日経 企業報道部取材班,kigyo_hodo
Jennifer Marsman,jennifermarsman
Matt Hunckler,Hunckler
Xiaoyu Miao,xiaoyumiao
Alasdair Allan,aallan
Alan Murray,alansmurray
Max Tegmark,tegmark
Satya Nadella,satyanadella
Mark Suster,msuster
Carol E. Reiley,robot_MD
Dez Blanchfield,dez_blanchfield
Oren Etzioni,etzioni
 i need a break ,triketora
Ricardo Amorim,Ricamconsult
Chris Bailey,Chris_Bailey
Karen Christensen,KarenChristenze
